Country,1990,2000,2010,2015,2018,2019,2020,2021
Switzerland,0.85,0.89,0.94,0.95,0.96,0.96,0.96,0.96
Norway,0.84,0.91,0.94,0.95,0.96,0.96,0.96,0.96
Iceland,0.81,0.87,0.90,0.95,0.96,0.96,0.96,0.96
Hong Kong,0.79,0.85,0.91,0.94,0.95,0.95,0.95,0.95
Australia,0.87,0.90,0.92,0.93,0.94,0.94,0.95,0.95
Denmark,0.83,0.89,0.91,0.94,0.94,0.95,0.95,0.95
Sweden,0.81,0.90,0.91,0.94,0.94,0.95,0.94,0.95
Ireland,0.74,0.85,0.90,0.93,0.94,0.94,0.94,0.95
Germany,0.83,0.89,0.93,0.94,0.95,0.95,0.94,0.94
Netherlands,0.85,0.89,0.92,0.93,0.94,0.94,0.94,0.94
Finland,0.81,0.89,0.91,0.93,0.94,0.94,0.94,0.94
Singapore,0.73,0.83,0.91,0.93,0.94,0.94,0.94,0.94
Belgium,0.82,0.89,0.91,0.92,0.93,0.94,0.93,0.94
New Zealand,0.81,0.89,0.92,0.93,0.94,0.94,0.94,0.94
Canada,0.86,0.89,0.91,0.93,0.93,0.94,0.93,0.94
Liechtenstein,0.00,0.87,0.91,0.92,0.93,0.94,0.93,0.94
Luxembourg,0.79,0.86,0.91,0.92,0.92,0.93,0.92,0.93
United Kingdom,0.80,0.86,0.91,0.92,0.93,0.94,0.92,0.93
Japan,0.85,0.88,0.90,0.92,0.92,0.92,0.92,0.93
Korea (Republic of),0.74,0.83,0.89,0.91,0.92,0.92,0.92,0.93
United States,0.87,0.89,0.91,0.92,0.93,0.93,0.92,0.92
Israel,0.79,0.84,0.89,0.91,0.92,0.92,0.92,0.92
Malta,0.73,0.78,0.86,0.89,0.91,0.92,0.91,0.92
Slovenia,0.00,0.82,0.89,0.90,0.92,0.92,0.91,0.92
Austria,0.83,0.87,0.90,0.91,0.92,0.92,0.91,0.92
United Arab Emirates,0.73,0.80,0.84,0.87,0.91,0.92,0.91,0.91
Spain,0.76,0.83,0.87,0.89,0.90,0.91,0.90,0.91
France,0.79,0.84,0.88,0.89,0.90,0.91,0.90,0.90
Cyprus,0.72,0.80,0.86,0.87,0.89,0.90,0.89,0.90
Italy,0.78,0.84,0.88,0.88,0.89,0.90,0.89,0.90
